name,line,LAT,LONG
1 AV,L,40.7313271,-73.9824354
103 ST,1,40.7962859,-73.961648
103 ST,6,40.7902602,-73.9478665
103 ST,BC,40.7902602,-73.9478665
103 ST-CORONA,7,40.7498268,-73.862746
104 ST,A,40.6951456,-73.8443046
104 ST,JZ,40.6951456,-73.8443046
110 ST,6,40.7948233,-73.9446315
111 ST,7,40.75172999999999,-73.855334
111 ST,A,40.7516718,-73.8553273
111 ST,J,40.6973802,-73.8363213
116 ST,23,40.79863,-73.94162
116 ST,6,40.79863,-73.94162
116 ST,BC,40.80443410000001,-73.955359
116 ST-COLUMBIA,1,40.808043,-73.9639122
121 ST,JZ,40.7003193,-73.8290986
125 ST,1,40.8043863,-73.9374292
125 ST,23,40.807,-73.945
125 ST,456,40.8043863,-73.9374292
125 ST,ACBD,40.8043863,-73.9374292
135 ST,23,40.8141,-73.9409
135 ST,BC,40.817894,-73.947647
137 ST CITY COL,1,40.821374,-73.95440099999999
138/GRAND CONC,45,40.8132249,-73.9298111
14 ST,123FLM,40.7382176,-73.9999361
14 ST,ACEL,40.7313271,-73.9824354
14 ST,FLM123,40.7382176,-73.9999361
14 ST-UNION SQ,456LNQRW,40.7345371,-73.99032350000002
14 ST-UNION SQ,LNQR456W,40.7345371,-73.99032350000002
145 ST,1,40.826604,-73.95038339999999
145 ST,3,40.8204191,-73.936249
145 ST,ABCD,40.8240532,-73.9447623
149/GRAND CONC,245,40.8183248,-73.9274121
14TH STREET,1,40.7382176,-73.9999361
15 ST-PROSPECT,FG,40.6604292,-73.9797224
155 ST,BD,40.8303393,-73.9367212
155 ST,C,40.8303393,-73.9367212
157 ST,1,40.83418289999999,-73.94481549999999
161/YANKEE STAD,4BD,40.8279249,-73.92580099999999
161/YANKEE STAD,BD4,40.8279249,-73.92580099999999
163 ST-AMSTERDM,C,40.83562850000001,-73.9398925
167 ST,4,40.8357232,-73.9211957
167 ST,BD,40.8357232,-73.9211957
168 ST,1AC,40.8408407,-73.9396297
168 ST,AC1,40.8408407,-73.9396297
169 ST,F,40.7107146,-73.7930083
