name,OBJECTID,date,line,entries,exits,LAT,LONG
1 AV,1,03/10/2020,L,14700,18611,40.7313271,-73.9824354
103 ST,2,03/10/2020,1,10205,5482,40.7962859,-73.961648
103 ST,3,03/10/2020,6,12479,12097,40.7902602,-73.9478665
103 ST,4,03/10/2020,BC,4122,2900,40.7902602,-73.9478665
103 ST-CORONA,5,03/10/2020,7,20229,13725,40.7498268,-73.862746
104 ST,6,03/10/2020,A,1466,599,40.6951456,-73.8443046
104 ST,7,03/10/2020,JZ,2567,1282,40.6951456,-73.8443046
110 ST,8,03/10/2020,6,10192,9549,40.7948233,-73.9446315
111 ST,9,03/10/2020,7,11218,7375,40.75172999999999,-73.855334
111 ST,10,03/10/2020,A,2510,881,40.7516718,-73.8553273
111 ST,11,03/10/2020,J,2209,1335,40.6973802,-73.8363213
116 ST,12,03/10/2020,23,9714,5330,40.79863,-73.94162
116 ST,13,03/10/2020,6,14278,9491,40.79863,-73.94162
116 ST,14,03/10/2020,BC,6776,5311,40.80443410000001,-73.955359
116 ST-COLUMBIA,15,03/10/2020,1,8945,5709,40.808043,-73.9639122
121 ST,16,03/10/2020,JZ,2223,1370,40.7003193,-73.8290986
125 ST,17,03/10/2020,1,6543,7057,40.8043863,-73.9374292
125 ST,18,03/10/2020,23,11323,6615,40.807,-73.945
125 ST,19,03/10/2020,456,25737,23874,40.8043863,-73.9374292
125 ST,20,03/10/2020,ACBD,26973,24312,40.8043863,-73.9374292
135 ST,21,03/10/2020,23,13026,4865,40.8141,-73.9409
135 ST,22,03/10/2020,BC,5862,4597,40.817894,-73.947647
137 ST CITY COL,23,03/10/2020,1,12334,12102,40.821374,-73.95440099999999
138/GRAND CONC,24,03/10/2020,45,1986,1331,40.8132249,-73.9298111
14 ST,25,03/10/2020,123FLM,17125,9765,40.7382176,-73.9999361
14 ST,26,03/10/2020,ACEL,14798,15556,40.7313271,-73.9824354
14 ST,27,03/10/2020,FLM123,15305,17533,40.7382176,-73.9999361
14 ST-UNION SQ,28,03/10/2020,456LNQRW,26881,26652,40.7345371,-73.99032350000002
14 ST-UNION SQ,29,03/10/2020,LNQR456W,55233,52253,40.7345371,-73.99032350000002
145 ST,30,03/10/2020,1,8284,7718,40.826604,-73.95038339999999
145 ST,31,03/10/2020,3,3334,403,40.8204191,-73.936249
145 ST,32,03/10/2020,ABCD,23445,24386,40.8240532,-73.9447623
149/GRAND CONC,33,03/10/2020,245,14772,8608,40.8183248,-73.9274121
14TH STREET,34,03/10/2020,1,7449,7866,40.7382176,-73.9999361
15 ST-PROSPECT,35,03/10/2020,FG,5876,3497,40.6604292,-73.9797224
155 ST,36,03/10/2020,BD,3571,1944,40.8303393,-73.9367212
155 ST,37,03/10/2020,C,2631,2183,40.8303393,-73.9367212
157 ST,38,03/10/2020,1,9457,7177,40.83418289999999,-73.94481549999999
161/YANKEE STAD,39,03/10/2020,4BD,8325,3083,40.8279249,-73.92580099999999
161/YANKEE STAD,40,03/10/2020,BD4,11979,6297,40.8279249,-73.92580099999999
163 ST-AMSTERDM,41,03/10/2020,C,4288,3782,40.83562850000001,-73.9398925
167 ST,42,03/10/2020,4,8368,9120,40.8357232,-73.9211957
167 ST,43,03/10/2020,BD,6906,4469,40.8357232,-73.9211957
168 ST,44,03/10/2020,1AC,9248,10029,40.8408407,-73.9396297
168 ST,45,03/10/2020,AC1,11752,4172,40.8408407,-73.9396297
169 ST,46,03/10/2020,F,7869,7779,40.7107146,-73.7930083
170 ST,47,03/10/2020,4,8108,6357,40.8400763,-73.91790689999999
170 ST,48,03/10/2020,BD,6694,4209,40.8400504,-73.9133477
174 ST,49,03/10/2020,25,5037,5395,40.8374234,-73.8877791
174-175 STS,50,03/10/2020,BD,4975,2750,40.846524,-73.9097269
175 ST,51,03/10/2020,A,11627,6825,40.8464761,-73.9399866
176 ST,52,03/10/2020,4,5414,3606,40.8484577,-73.9117417
18 AV,53,03/10/2020,D,5653,1490,40.6296673,-73.9770029
18 AV,54,03/10/2020,F,3224,2451,40.6296673,-73.9770029
18 AV,55,03/10/2020,N,3950,2854,40.6201053,-73.9894661
18 ST,56,03/10/2020,1,6566,4671,40.74106949999999,-73.9978777
181 ST,57,03/10/2020,1,12898,12507,40.84913,-73.93372889999999
181 ST,58,03/10/2020,A,9734,9491,40.84913,-73.93372889999999
182-183 STS,59,03/10/2020,BD,3006,2244,40.8560934,-73.90102949999999
183 ST,60,03/10/2020,4,5663,3568,40.8583762,-73.90391369999999
190 ST,61,03/10/2020,A,2699,604,40.8588858,-73.9342255
191 ST,62,03/10/2020,1,1522,1893,40.8564197,-73.932621
2 AV,63,03/10/2020,F,14190,14833,40.7234127,-73.9902885
20 AV,64,03/10/2020,D,4546,1225,40.60463559999999,-73.9984303
20 AV,65,03/10/2020,N,3417,3447,40.617271,-73.9847709
207 ST,66,03/10/2020,1,5728,4228,40.8644561,-73.91885049999999
21 ST,67,03/10/2020,G,1616,1731,40.7446224,-73.9486362
21 ST-QNSBRIDGE,68,03/10/2020,F,9973,6410,40.75417770000001,-73.94247419999999
215 ST,69,03/10/2020,1,1644,600,40.8695946,-73.9153019
219 ST,70,03/10/2020,25,3141,1793,40.883888,-73.8627468
225 ST,71,03/10/2020,25,3919,1734,40.888092,-73.8604244
23 ST,72,03/10/2020,1,11977,10579,40.74112969999999,-73.9890454
23 ST,73,03/10/2020,6,26641,23223,40.7400595,-73.9864645
23 ST,74,03/10/2020,CE,20023,12570,40.7454792,-73.9986409
23 ST,75,03/10/2020,FM,23813,22973,40.74112969999999,-73.9890454
23 ST,76,03/10/2020,NRW,18917,11585,40.74112969999999,-73.9890454
231 ST,77,03/10/2020,1,8841,1199,40.879025,-73.9049309
233 ST,78,03/10/2020,25,4712,1628,40.8932229,-73.85740910000001
238 ST,79,03/10/2020,1,4042,398,40.8848725,-73.9006842
25 AV,80,03/10/2020,D,4695,1027,40.5975914,-73.9867691
25 ST,81,03/10/2020,R,3653,3059,40.660397,-73.998093
28 ST,82,03/10/2020,1,12668,9520,40.7470686,-73.99350919999999
28 ST,83,03/10/2020,6,16412,16763,40.7433092,-73.98442519999999
28 ST,84,03/10/2020,NRW,10267,12006,40.7470686,-73.99350919999999
3 AV,85,03/10/2020,L,5617,5646,40.7331308,-73.9867663
3 AV 138 ST,86,03/10/2020,6,6627,3364,40.810474,-73.92614000000002
3 AV-149 ST,87,03/10/2020,25,20631,8476,40.8160451,-73.9179347
30 AV,88,03/10/2020,NQW,13650,11592,40.7668562,-73.921323
33 ST,89,03/10/2020,6,23656,19748,40.7461729,-73.9820093
33 ST-RAWSON ST,90,03/10/2020,7,12187,10949,40.7445586,-73.9312333
34 ST-HERALD SQ,91,03/10/2020,BDFMNQRW,90960,92983,40.7500869,-73.98812699999999
34 ST-HUDSON YD,92,03/10/2020,7,15090,16046,40.7549713,-74.0010084
34 ST-PENN STA,93,03/10/2020,123,26575,28288,40.751056,-73.9903102
34 ST-PENN STA,94,03/10/2020,123ACE,35643,34952,40.751056,-73.9903102
34 ST-PENN STA,95,03/10/2020,ACE,63081,62786,40.7519921,-73.993323
36 AV,96,03/10/2020,NQW,6551,6947,40.7566195,-73.9296478
36 ST,97,03/10/2020,DNR,13105,8152,40.6545065,-74.0042335
36 ST,98,03/10/2020,MR,4242,3132,40.6545065,-74.0042335
39 AV,99,03/10/2020,NQW,2913,3228,40.7526897,-73.9328056
4 AV-9 ST,100,03/10/2020,DFGMNR,3135,4680,40.6701803,-73.98929150000001
40 ST LOWERY ST,101,03/10/2020,7,9528,8559,40.7438729,-73.92423409999999
42 ST-BRYANT PK,102,03/10/2020,BDFM7,35828,36074,40.7548368,-73.9841215
42 ST-PORT AUTH,103,03/10/2020,ACENGRS1237W,11401,12317,40.7558611,-73.987061
42 ST-PORT AUTH,104,03/10/2020,ACENQRS1237W,62260,58611,40.7558611,-73.987061
45 ST,105,03/10/2020,R,7286,3999,40.6493612,-74.0095916
46 ST,106,03/10/2020,MR,8197,6929,40.7567515,-73.91421179999999
46 ST BLISS ST,107,03/10/2020,7,12279,9708,40.7430692,-73.9182376
47-50 STS ROCK,108,03/10/2020,BDFM,48690,52497,40.75885,-73.98118610000002
49 ST,109,03/10/2020,NQRW,17936,15979,40.7604939,-73.9837436
4AV-9 ST,110,03/10/2020,DFGMNR,8274,5774,40.6701803,-73.98929150000001
5 AV/53 ST,111,03/10/2020,EM,20915,23989,40.760257,-73.97547039999999
5 AV/59 ST,112,03/10/2020,NQRW,11821,9286,40.7648676,-73.9724231
5 AVE,113,03/10/2020,7BDFM,11102,9763,40.7648676,-73.9724231
50 ST,114,03/10/2020,1,19376,21220,40.7614242,-73.984006
50 ST,115,03/10/2020,CE,16821,11742,40.7623513,-73.9864953
50 ST,116,03/10/2020,D,2712,2659,40.7623513,-73.9864953
51 ST,117,03/10/2020,6,15585,19217,40.757135,-73.9719119
52 ST,118,03/10/2020,7,5986,5510,40.74429019999999,-73.9121748
53 ST,119,03/10/2020,R,8708,8526,40.6446283,-74.0145512
55 ST,120,03/10/2020,D,1589,661,40.6315514,-73.9956328
57 ST,121,03/10/2020,F,11589,11718,40.76416529999999,-73.9773134
57 ST-7 AV,122,03/10/2020,NQRW,28496,19455,40.7655439,-73.9803258
59 ST,123,03/10/2020,456NQRW,32772,33650,40.7648676,-73.9724231
59 ST,124,03/10/2020,NQR456W,11196,7264,40.7648676,-73.9724231
59 ST,125,03/10/2020,NRW,9952,5578,40.762824,-73.967562
59 ST COLUMBUS,126,03/10/2020,1ABCD,10515,8844,40.7687804,-73.9821154
59 ST COLUMBUS,127,03/10/2020,ABCD1,48649,42001,40.7687804,-73.9821154
6 AV,128,03/10/2020,FLM123,1845,2016,40.7382,-73.9999
61 ST WOODSIDE,129,03/10/2020,7,14793,14772,40.7457078,-73.90290399999999
63 DR-REGO PARK,130,03/10/2020,MR,14180,5348,40.7301359,-73.8623673
65 ST,131,03/10/2020,MR,3356,2362,40.7491462,-73.89746869999999
66 ST-LINCOLN,132,03/10/2020,1,18073,19434,40.7736972,-73.9822288
67 AV,133,03/10/2020,MR,8493,4261,40.7270427,-73.8531493
68ST-HUNTER CO,134,03/10/2020,6,23071,20540,40.7678741,-73.9638866
69 ST,135,03/10/2020,7,4750,4862,40.74629059999999,-73.8963229
7 AV,136,03/10/2020,BDE,14852,17820,40.7629749,-73.9819021
7 AV,137,03/10/2020,BQ,9206,8574,40.6773274,-73.9725591
7 AV,138,03/10/2020,FG,11392,5713,40.6668935,-73.9815816
71 ST,139,03/10/2020,D,4849,1525,40.6196212,-73.99877699999999
72 ST,140,03/10/2020,123,30019,31915,40.7686869,-73.9584429
72 ST,141,03/10/2020,BC,7286,6690,40.7762249,-73.976191
72 ST-2 AVE,142,03/10/2020,Q,27866,24801,40.7686869,-73.9584429
74 ST-BROADWAY,143,03/10/2020,7EFMR,3008,4589,40.746739,-73.8909986
75 AV,144,03/10/2020,EF,3185,450,40.71833,-73.83732599999999
75 ST-ELDERTS,145,03/10/2020,JZ,3852,2940,40.69143649999999,-73.8665512
77 ST,146,03/10/2020,6,21989,23434,40.7736346,-73.95982939999999
77 ST,147,03/10/2020,R,5322,2140,40.6297742,-74.0254856
79 ST,148,03/10/2020,1,11863,6145,40.7840525,-73.9800738
79 ST,149,03/10/2020,D,6031,2041,40.6134959,-74.0005379
8 AV,150,03/10/2020,ACEL,17019,11288,40.6345839,-74.01080209999999
8 AV,151,03/10/2020,N,8085,8648,40.6345839,-74.01080209999999
8 ST-NYU,152,03/10/2020,NRW,13067,9154,40.7306065,-73.99244159999999
80 ST,153,03/10/2020,A,4051,2238,40.6793295,-73.8590167
81 ST-MUSEUM,154,03/10/2020,BC,10441,9010,40.7819757,-73.971999
82 ST-JACKSON H,155,03/10/2020,7,14400,16263,40.7477145,-73.8839373
85 ST-FOREST PK,156,03/10/2020,J,3774,1938,40.6924861,-73.8590708
86 ST,157,03/10/2020,1,14956,15704,40.7852685,-73.9695849
86 ST,158,03/10/2020,456,36174,35601,40.7777409,-73.9515672
86 ST,159,03/10/2020,BC,9535,8886,40.7777409,-73.9515672
86 ST,160,03/10/2020,N,2495,2613,40.7777409,-73.9515672
86 ST,161,03/10/2020,R,10507,7695,40.7777409,-73.9515672
86 ST-2 AVE,162,03/10/2020,Q,22524,14926,40.7686869,-73.9584429
88 ST,163,03/10/2020,A,2820,1142,40.679844,-73.851471
9 AV,164,03/10/2020,D,4968,5102,40.6463399,-73.9943655
90 ST-ELMHURST,165,03/10/2020,7,16108,8176,40.7484367,-73.8765289
96 ST,166,03/10/2020,123,30212,29433,40.7941912,-73.9721368
96 ST,167,03/10/2020,6,16061,6195,40.785672,-73.95107
96 ST,168,03/10/2020,BC,9164,7416,40.7858701,-73.95093469999999
96 ST-2 AVE,169,03/10/2020,Q,17836,13409,40.7834854,-73.9476586
9TH STREET,170,03/10/2020,1,4309,4350,40.7342315,-73.998802
ALABAMA AV,171,03/10/2020,J,2199,2355,40.6768953,-73.89941189999999
