"","station_name","date","daily_entries","daily_exits","daily_total","percent_entries"
"1","1 AV","01/01/2020",7253,9266,16519,43.907016163206
"2","103 ST","01/01/2020",15830,12377,28207,56.1208210727834
"3","103 ST-CORONA","01/01/2020",8467,7898,16365,51.7384662389245
"4","104 ST","01/01/2020",1381,758,2139,64.5628798503974
"5","110 ST","01/01/2020",4390,5084,9474,46.3373443107452
"6","111 ST","01/01/2020",6234,5012,11246,55.4330428596834
"7","116 ST","01/01/2020",16303,11134,27437,59.4197616357473
"8","116 ST-COLUMBIA","01/01/2020",3377,1955,5332,63.3345836459115
"9","121 ST","01/01/2020",872,636,1508,57.8249336870027
"10","125 ST","01/01/2020",32464,32498,64962,49.9738308549614
"11","135 ST","01/01/2020",8453,4382,12835,65.8589793533307
"12","137 ST CITY COL","01/01/2020",6125,5944,12069,50.7498550004143
"13","138/GRAND CONC","01/01/2020",555,694,1249,44.435548438751
"14","14 ST","01/01/2020",25507,24930,50437,50.5720007137617
"15","14 ST-UNION SQ","01/01/2020",38917,39399,78316,49.6922723326013
"16","145 ST","01/01/2020",16317,17024,33341,48.9397438589125
"17","149/GRAND CONC","01/01/2020",3702,3175,6877,53.8316126217828
"18","14TH STREET","01/01/2020",4060,3344,7404,54.8352242031334
"19","15 ST-PROSPECT","01/01/2020",2673,1997,4670,57.237687366167
"20","155 ST","01/01/2020",3519,3055,6574,53.5290538484941
"21","157 ST","01/01/2020",5787,4664,10451,55.3726916084585
"22","161/YANKEE STAD","01/01/2020",7669,5023,12692,60.4238890639773
"23","163 ST-AMSTERDM","01/01/2020",2504,2787,5291,47.3256473256473
"24","167 ST","01/01/2020",6943,5760,12703,54.6563803825868
"25","168 ST","01/01/2020",7653,5578,13231,57.8414329982617
"26","169 ST","01/01/2020",2864,3430,6294,45.5036542739117
"27","170 ST","01/01/2020",6188,5104,11292,54.7998583067658
"28","174 ST","01/01/2020",2366,3100,5466,43.2857665568972
"29","174-175 STS","01/01/2020",2044,1312,3356,60.9058402860548
"30","175 ST","01/01/2020",5516,3859,9375,58.8373333333333
"31","176 ST","01/01/2020",2244,1585,3829,58.6053799947767
"32","18 AV","01/01/2020",6864,4495,11359,60.4278545646624
"33","18 ST","01/01/2020",2302,1695,3997,57.5931948961721
"34","181 ST","01/01/2020",9763,11009,20772,47.000770267668
"35","182-183 STS","01/01/2020",1429,856,2285,62.5382932166302
"36","183 ST","01/01/2020",2387,1596,3983,59.9297012302285
"37","190 ST","01/01/2020",1115,248,1363,81.8048422597212
"38","191 ST","01/01/2020",3658,4639,8297,44.0882246595155
"39","2 AV","01/01/2020",12111,10757,22868,52.9604687773308
"40","20 AV","01/01/2020",4098,2550,6648,61.6425992779783
"41","207 ST","01/01/2020",2675,1390,4065,65.8056580565806
"42","21 ST","01/01/2020",673,756,1429,47.0958712386284
"43","21 ST-QNSBRIDGE","01/01/2020",5583,5892,11475,48.6535947712418
"44","215 ST","01/01/2020",694,325,1019,68.1059862610402
"45","219 ST","01/01/2020",1483,985,2468,60.0891410048622
"46","225 ST","01/01/2020",1286,943,2229,57.6940331987438
"47","23 ST","01/01/2020",37888,31804,69692,54.3649199334213
"48","231 ST","01/01/2020",3599,683,4282,84.049509574965
"49","233 ST","01/01/2020",2009,824,2833,70.9142252029651
"50","238 ST","01/01/2020",1639,105,1744,93.9793577981651
"51","25 AV","01/01/2020",1965,681,2646,74.2630385487528
"52","25 ST","01/01/2020",1626,1667,3293,49.3774673549954
"53","28 ST","01/01/2020",18231,18335,36566,49.8577913909096
"54","3 AV","01/01/2020",2939,2907,5846,50.2736914129319
"55","3 AV 138 ST","01/01/2020",2732,1973,4705,58.0658873538788
"56","3 AV-149 ST","01/01/2020",7672,4537,12209,62.8388893439266
"57","30 AV","01/01/2020",5290,5563,10853,48.7422832396572
"58","33 ST","01/01/2020",9793,9059,18852,51.9467430511352
"59","33 ST-RAWSON ST","01/01/2020",1000,1234,2234,44.762757385855
"60","34 ST-HERALD SQ","01/01/2020",59038,56869,115907,50.9356639374671
"61","34 ST-HUDSON YD","01/01/2020",13565,13316,26881,50.4631524124847
"62","34 ST-PENN STA","01/01/2020",69166,73622,142788,48.4396447880774
"63","36 AV","01/01/2020",2410,3079,5489,43.9059938057934
"64","36 ST","01/01/2020",6317,5006,11323,55.7891018281374
"65","39 AV","01/01/2020",1795,2229,4024,44.6073558648111
"66","4 AV-9 ST","01/01/2020",1595,2248,3843,41.504033307312
"67","40 ST LOWERY ST","01/01/2020",3638,4405,8043,45.2318786522442
"68","42 ST-BRYANT PK","01/01/2020",21583,16735,38318,56.3260086643353
"69","42 ST-PORT AUTH","01/01/2020",55733,51401,107134,52.0217671327496
"70","45 ST","01/01/2020",3096,2204,5300,58.4150943396226
"71","46 ST","01/01/2020",3249,3079,6328,51.3432364096081
"72","46 ST BLISS ST","01/01/2020",5081,5209,10290,49.3780369290573
"73","47-50 STS ROCK","01/01/2020",34797,28660,63457,54.8355579368706
"74","49 ST","01/01/2020",14840,12002,26842,55.2864913195738
"75","4AV-9 ST","01/01/2020",3489,2863,6352,54.9275818639798
"76","5 AV/53 ST","01/01/2020",8391,9104,17495,47.9622749356959
"77","5 AV/59 ST","01/01/2020",10217,8095,18312,55.7940148536479
"78","5 AVE","01/01/2020",6268,5232,11500,54.5043478260869
"79","50 ST","01/01/2020",33645,24932,58577,57.4372193864486
"80","51 ST","01/01/2020",8559,9199,17758,48.1979952697376
"81","52 ST","01/01/2020",2743,3121,5864,46.7769440654843
"82","53 ST","01/01/2020",3401,4148,7549,45.0523248112333
"83","55 ST","01/01/2020",1454,996,2450,59.3469387755102
"84","57 ST","01/01/2020",12769,10423,23192,55.0577785443256
"85","57 ST-7 AV","01/01/2020",15946,9026,24972,63.855518180362
"86","59 ST","01/01/2020",22521,21109,43630,51.6181526472611
"87","59 ST COLUMBUS","01/01/2020",37533,30171,67704,55.4369018078696
"88","6 AV","01/01/2020",914,953,1867,48.9555436529191
"89","61 ST WOODSIDE","01/01/2020",7006,7401,14407,48.6291386131741
"90","63 DR-REGO PARK","01/01/2020",4749,2112,6861,69.2173152601662
"91","65 ST","01/01/2020",1522,1355,2877,52.9023288147376
"92","66 ST-LINCOLN","01/01/2020",11659,11084,22743,51.2641252253441
"93","67 AV","01/01/2020",2576,1609,4185,61.5531660692951
"94","68ST-HUNTER CO","01/01/2020",5301,5472,10773,49.2063492063492
